,,,,,,,,,,,,,,,,,,,,
,CAS RN,Name,Midpoint Ecotox. Charact. factor [PAF.m3.day/kgemitted],,,,,,,,Endpoint Ecotox. Charact. factor [PDF.m3.day/kgemitted],,,,,,,,CHARACTERIZATION FACTOR FLAGGING,
,,,Em.hom.airI,Em.ind.airI,Em.airU,Em.airC,Em.fr.waterC,Em.sea waterC,Em.nat.soilC,Em.agr.soilC,Em.hom.airI,Em.ind.airI,Em.airU,Em.airC,Em.fr.waterC,Em.sea waterC,Em.nat.soilC,Em.agr.soilC,(F=indicative; n/a=not available),
,,,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,,Ecotox
,563-41-7,SEMICARBAZIDE,2.39E+01,2.41E+01,2.43E+01,2.34E+01,7.36E+01,2.47E-05,2.48E+01,2.48E+01,1.19E+01,1.21E+01,1.22E+01,1.17E+01,3.68E+01,1.23E-05,1.24E+01,1.24E+01,,F
,57-14-7,"1,1-Dimethyl hydrazine",9.65E+01,1.13E+02,1.23E+02,6.98E+01,1.62E+03,1.17E+00,3.61E+01,4.57E+01,4.83E+01,5.63E+01,6.16E+01,3.49E+01,8.10E+02,5.84E-01,1.80E+01,2.29E+01,,F
,57-24-9,Strychnine,2.33E+03,3.09E+03,3.59E+03,1.07E+03,4.97E+04,8.59E-07,1.72E+02,1.79E+02,1.17E+03,1.54E+03,1.80E+03,5.35E+02,2.49E+04,4.29E-07,8.62E+01,8.94E+01,,F
,58-08-2,CAFFEINE,1.44E+04,1.80E+04,2.04E+04,8.39E+03,6.97E+04,1.07E-06,7.86E+03,7.86E+03,7.20E+03,9.00E+03,1.02E+04,4.20E+03,3.49E+04,5.35E-07,3.93E+03,3.93E+03,,F
,58-89-9,gamma-HCH (lindane),1.13E+04,1.15E+04,1.16E+04,1.10E+04,2.89E+05,5.25E+02,9.81E+03,9.81E+03,5.65E+03,5.73E+03,5.79E+03,5.50E+03,1.44E+05,2.63E+02,4.91E+03,4.91E+03,,
,58-90-2,"2,3,4,6-tetrachlorophenol",2.80E+03,2.84E+03,2.87E+03,2.73E+03,5.18E+04,2.38E-01,1.21E+03,7.25E+03,1.40E+03,1.42E+03,1.43E+03,1.36E+03,2.59E+04,1.19E-01,6.06E+02,3.63E+03,,F
,5902-51-2,TERBACIL,3.38E+03,3.60E+03,3.76E+03,3.00E+03,1.18E+04,7.06E-04,3.15E+03,3.13E+03,1.69E+03,1.80E+03,1.88E+03,1.50E+03,5.89E+03,3.53E-04,1.57E+03,1.56E+03,,
,59-67-6,NICOTINIC ACID,1.93E+01,2.31E+01,2.57E+01,1.28E+01,8.51E+01,1.60E-08,1.32E+01,1.11E+01,9.63E+00,1.16E+01,1.29E+01,6.41E+00,4.25E+01,8.02E-09,6.59E+00,5.53E+00,,F
,59756-60-4,Fluridone,2.40E+03,3.50E+03,4.23E+03,5.80E+02,2.23E+04,4.41E-02,1.72E+02,1.72E+02,1.20E+03,1.75E+03,2.11E+03,2.90E+02,1.12E+04,2.20E-02,8.62E+01,8.62E+01,,
,59-87-0,NITROFURAZONE,1.30E+02,1.94E+02,2.37E+02,2.35E+01,8.42E+02,1.09E-06,1.59E+00,1.60E+00,6.51E+01,9.71E+01,1.18E+02,1.17E+01,4.21E+02,5.45E-07,7.95E-01,7.98E-01,,F
,60-34-4,Methylhydrazine,1.21E+03,1.76E+03,2.12E+03,3.08E+02,1.14E+04,8.50E-01,1.52E+02,1.62E+02,6.07E+02,8.78E+02,1.06E+03,1.54E+02,5.71E+03,4.25E-01,7.58E+01,8.09E+01,,F
,6164-98-3,CHLORDIMEFORM,9.86E+01,1.48E+02,1.81E+02,1.58E+01,6.77E+02,1.03E-03,3.37E-01,3.39E-01,4.93E+01,7.41E+01,9.07E+01,7.90E+00,3.39E+02,5.15E-04,1.69E-01,1.70E-01,,F
,62-55-5,Thioacetamide,5.72E+00,6.00E+00,6.19E+00,5.26E+00,2.54E+02,1.14E-02,5.48E+01,5.48E+01,2.86E+00,3.00E+00,3.09E+00,2.63E+00,1.27E+02,5.70E-03,2.74E+01,2.74E+01,,F
,62-75-9,N-Nitrosodimethylamine,1.51E+00,1.53E+00,1.54E+00,1.48E+00,2.51E+01,1.23E-02,5.85E+00,5.85E+00,7.56E-01,7.65E-01,7.71E-01,7.41E-01,1.25E+01,6.13E-03,2.93E+00,2.93E+00,,
,65-85-0,benzoic acid,4.60E+01,6.58E+01,7.90E+01,1.29E+01,2.89E+02,8.77E-08,6.03E+00,5.83E+00,2.30E+01,3.29E+01,3.95E+01,6.47E+00,1.45E+02,4.39E-08,3.02E+00,2.91E+00,,F
,67-64-1,Acetone,5.04E-02,5.04E-02,5.05E-02,5.03E-02,1.20E+00,2.23E-03,2.59E-01,2.59E-01,2.52E-02,2.52E-02,2.52E-02,2.51E-02,6.02E-01,1.12E-03,1.29E-01,1.29E-01,,
,680-31-9,HEXAMETHYLPHOSPHORAMIDE,2.71E-01,3.52E-01,4.06E-01,1.37E-01,3.08E+00,4.11E-06,2.81E-01,2.81E-01,1.36E-01,1.76E-01,2.03E-01,6.83E-02,1.54E+00,2.06E-06,1.41E-01,1.41E-01,,F
,684-93-5,N-Methyl-N-nitrosourea,2.78E+01,2.82E+01,2.84E+01,2.71E+01,1.59E+02,1.36E-02,4.75E+01,4.75E+01,1.39E+01,1.41E+01,1.42E+01,1.36E+01,7.97E+01,6.79E-03,2.38E+01,2.38E+01,,F
,7003-89-6,Chlormequat,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,70-30-4,Hexachloroprene,1.00E+05,1.20E+05,1.33E+05,6.76E+04,3.23E+06,1.26E-05,3.42E+03,4.33E+03,5.02E+04,6.00E+04,6.66E+04,3.38E+04,1.62E+06,6.28E-06,1.71E+03,2.17E+03,,
,71-43-2,benzene,5.17E-02,5.18E-02,5.19E-02,5.15E-02,6.60E+01,1.06E-02,2.06E+00,2.06E+00,2.59E-02,2.59E-02,2.60E-02,2.58E-02,3.30E+01,5.28E-03,1.03E+00,1.03E+00,,
,72-54-8,DDD,4.74E+04,5.16E+04,5.43E+04,4.06E+04,2.72E+06,8.79E+02,1.95E+04,1.95E+04,2.37E+04,2.58E+04,2.72E+04,2.03E+04,1.36E+06,4.39E+02,9.76E+03,9.76E+03,,
,74-87-3,Methyl chloride,5.69E-02,5.69E-02,5.69E-02,5.69E-02,9.11E+00,6.21E-03,3.16E-01,3.16E-01,2.85E-02,2.85E-02,2.85E-02,2.84E-02,4.56E+00,3.10E-03,1.58E-01,1.58E-01,,F
,75-07-0,ACETALDEHYDE,2.76E-01,2.73E-01,2.72E-01,2.80E-01,4.75E+01,1.85E-02,8.60E+00,8.60E+00,1.38E-01,1.37E-01,1.36E-01,1.40E-01,2.37E+01,9.23E-03,4.30E+00,4.30E+00,,
,75-09-2,dichloromethane/methylenechloride (CH2Cl2),8.31E-02,8.32E-02,8.32E-02,8.31E-02,1.46E+01,1.69E-02,8.21E-01,8.21E-01,4.16E-02,4.16E-02,4.16E-02,4.15E-02,7.30E+00,8.46E-03,4.11E-01,4.11E-01,,
,75-52-5,NITROMETHANE,1.54E+00,1.54E+00,1.54E+00,1.54E+00,3.48E+01,5.90E-02,6.08E+00,6.07E+00,7.70E-01,7.71E-01,7.72E-01,7.68E-01,1.74E+01,2.95E-02,3.04E+00,3.04E+00,,
,75-56-9,PROPYLENE OXIDE,8.73E-01,8.74E-01,8.74E-01,8.72E-01,2.89E+01,5.44E-02,5.49E+00,5.49E+00,4.37E-01,4.37E-01,4.37E-01,4.36E-01,1.44E+01,2.72E-02,2.74E+00,2.74E+00,,
,75-60-5,CACODYLIC ACID,7.11E+01,8.44E+01,9.33E+01,4.89E+01,3.08E+02,1.87E-07,5.29E+01,4.05E+01,3.55E+01,4.22E+01,4.67E+01,2.44E+01,1.54E+02,9.35E-08,2.64E+01,2.03E+01,,F
,75-99-0,Dalapon,2.33E+01,2.89E+01,3.26E+01,1.40E+01,1.09E+02,7.20E-10,1.28E+01,1.28E+01,1.17E+01,1.44E+01,1.63E+01,7.00E+00,5.43E+01,3.60E-10,6.38E+00,6.38E+00,,F
,76-03-9,TRICHLOROACETIC ACID,8.72E+00,9.78E+00,1.05E+01,6.95E+00,3.35E+01,1.53E-11,6.96E+00,6.96E+00,4.36E+00,4.89E+00,5.24E+00,3.47E+00,1.68E+01,7.65E-12,3.48E+00,3.48E+00,,F
,76-87-9,TRIPHENYLTIN HYDROXIDE,1.69E+06,1.93E+06,2.10E+06,1.28E+06,5.93E+07,1.51E+03,1.24E+06,1.24E+06,8.45E+05,9.67E+05,1.05E+06,6.42E+05,2.96E+07,7.55E+02,6.20E+05,6.20E+05,,F
,77182-82-2,GLUFOSINATE-AMMONIUM,8.87E+01,1.31E+02,1.59E+02,1.81E+01,5.78E+02,4.60E-14,4.10E+00,4.10E+00,4.43E+01,6.55E+01,7.96E+01,9.06E+00,2.89E+02,2.30E-14,2.05E+00,2.05E+00,,F
,7773-06-0,"Sulfamic acid, monoammonium salt",4.37E+00,4.44E+00,4.49E+00,4.25E+00,2.22E+01,1.04E-17,5.46E+00,5.46E+00,2.18E+00,2.22E+00,2.24E+00,2.13E+00,1.11E+01,5.22E-18,2.73E+00,2.73E+00,,F
,77-92-9,CITRIC ACID,4.82E+00,5.89E+00,6.61E+00,3.03E+00,2.20E+01,7.97E-16,2.85E+00,2.84E+00,2.41E+00,2.95E+00,3.31E+00,1.51E+00,1.10E+01,3.99E-16,1.43E+00,1.42E+00,,F
,78-79-5,Isoprene,6.64E-05,8.87E-05,1.04E-04,2.91E-05,2.02E+01,2.93E-06,7.89E-02,7.89E-02,3.32E-05,4.44E-05,5.18E-05,1.46E-05,1.01E+01,1.47E-06,3.94E-02,3.94E-02,,
,78-93-3,Methyl ethyl ketone,4.13E-02,4.13E-02,4.13E-02,4.13E-02,1.57E+00,2.22E-03,2.99E-01,2.99E-01,2.07E-02,2.07E-02,2.07E-02,2.06E-02,7.85E-01,1.11E-03,1.49E-01,1.49E-01,,F
,79-06-1,ACRYLAMIDE,2.63E+01,3.11E+01,3.43E+01,1.84E+01,1.19E+02,6.43E-05,1.83E+01,1.83E+01,1.32E+01,1.56E+01,1.71E+01,9.20E+00,5.95E+01,3.21E-05,9.14E+00,9.14E+00,,
,79-10-7,Acrylic acid,3.15E+01,3.93E+01,4.44E+01,1.86E+01,2.01E+02,8.27E-07,1.74E+01,1.69E+01,1.58E+01,1.96E+01,2.22E+01,9.32E+00,1.00E+02,4.13E-07,8.70E+00,8.44E+00,,F
,79-11-8,Chloroacetic acid,6.49E+02,7.89E+02,8.83E+02,4.15E+02,2.92E+03,6.95E-08,3.88E+02,3.87E+02,3.25E+02,3.95E+02,4.42E+02,2.08E+02,1.46E+03,3.48E-08,1.94E+02,1.94E+02,,F
,79-43-6,DICHLOROACETIC ACID,1.13E+01,1.39E+01,1.57E+01,6.80E+00,5.24E+01,2.45E-11,6.20E+00,6.20E+00,5.63E+00,6.97E+00,7.86E+00,3.40E+00,2.62E+01,1.23E-11,3.10E+00,3.10E+00,,F
,81335-77-5,Imazethapyr,1.54E+02,1.68E+02,1.77E+02,1.31E+02,1.17E+03,1.18E-12,1.11E+02,1.55E+02,7.70E+01,8.39E+01,8.85E+01,6.55E+01,5.84E+02,5.92E-13,5.55E+01,7.74E+01,,F
,85-00-7,DIQUAT DIBROMIDE,6.16E+04,5.94E+04,5.78E+04,6.54E+04,1.72E+05,8.42E-07,7.33E+04,7.33E+04,3.08E+04,2.97E+04,2.89E+04,3.27E+04,8.59E+04,4.21E-07,3.67E+04,3.67E+04,,F
,86-87-3,NAPHTHALENEACETIC ACID,2.58E+01,3.26E+01,3.71E+01,1.46E+01,1.29E+02,2.41E-08,1.24E+01,1.57E+01,1.29E+01,1.63E+01,1.85E+01,7.28E+00,6.43E+01,1.21E-08,6.21E+00,7.86E+00,,F
,868-85-9,DIMETHYL PHOSPHITE,6.28E+00,6.41E+00,6.50E+00,6.07E+00,8.03E+01,7.01E-03,2.25E+01,2.25E+01,3.14E+00,3.21E+00,3.25E+00,3.03E+00,4.01E+01,3.50E-03,1.13E+01,1.13E+01,,F
,87-51-4,INDOLE-3-ACETIC ACID,1.59E+02,2.09E+02,2.41E+02,7.75E+01,9.19E+02,1.71E-08,9.07E+01,1.00E+02,7.97E+01,1.04E+02,1.21E+02,3.88E+01,4.60E+02,8.56E-09,4.54E+01,5.00E+01,,F
,87-86-5,pentachlorophenol,1.57E+04,2.11E+04,2.48E+04,6.62E+03,9.13E+04,5.04E-04,1.21E+03,8.40E+03,7.84E+03,1.06E+04,1.24E+04,3.31E+03,4.56E+04,2.52E-04,6.06E+02,4.20E+03,,F
,88-85-7,Dinoseb,7.36E+03,8.58E+03,9.40E+03,5.33E+03,1.75E+05,2.54E-02,8.68E+02,6.01E+03,3.68E+03,4.29E+03,4.70E+03,2.66E+03,8.77E+04,1.27E-02,4.34E+02,3.00E+03,,F
,91-20-3,naphthalene,8.20E-01,8.92E-01,9.40E-01,7.00E-01,9.07E+02,1.28E-02,1.53E+00,1.53E+00,4.10E-01,4.46E-01,4.70E-01,3.50E-01,4.53E+02,6.41E-03,7.64E-01,7.64E-01,,
,93-72-1,SILVEX,5.30E+02,7.42E+02,8.84E+02,1.75E+02,3.10E+03,2.03E-07,1.10E+02,1.09E+02,2.65E+02,3.71E+02,4.42E+02,8.76E+01,1.55E+03,1.01E-07,5.50E+01,5.45E+01,,F
,93-76-5,"2,4,5-trichlorophenoxyacetic acid",7.25E+02,7.33E+02,7.38E+02,7.12E+02,2.24E+03,3.13E-06,7.61E+02,7.62E+02,3.63E+02,3.67E+02,3.69E+02,3.56E+02,1.12E+03,1.57E-06,3.80E+02,3.81E+02,,F
,94-74-6,2-Methyl-4-chlorophenoxyacetic acid,3.51E+02,4.68E+02,5.46E+02,1.56E+02,1.88E+03,1.28E-08,1.26E+02,1.25E+02,1.76E+02,2.34E+02,2.73E+02,7.82E+01,9.40E+02,6.39E-09,6.32E+01,6.26E+01,,F
,94-75-7,"2-(2,4-dichlorophenoxy)acetic acid",1.45E+02,2.04E+02,2.43E+02,4.65E+01,8.61E+02,1.95E-07,2.77E+01,2.74E+01,7.25E+01,1.02E+02,1.22E+02,2.33E+01,4.30E+02,9.74E-08,1.38E+01,1.37E+01,,F
,94-82-6,"2,4-DB",1.08E+02,1.42E+02,1.65E+02,5.12E+01,1.39E+03,2.30E-05,1.78E+01,5.57E+01,5.41E+01,7.12E+01,8.26E+01,2.56E+01,6.96E+02,1.15E-05,8.89E+00,2.79E+01,,F
,95-06-7,SULFALLATE,2.06E+01,2.35E+01,2.55E+01,1.57E+01,1.16E+04,2.95E-01,4.13E+02,4.13E+02,1.03E+01,1.17E+01,1.27E+01,7.85E+00,5.80E+03,1.48E-01,2.07E+02,2.07E+02,,F
,96-12-8,"1,2-Dibromo-3-chloropropane",5.50E+00,5.50E+00,5.50E+00,5.50E+00,3.01E+02,6.71E-01,6.16E+01,6.16E+01,2.75E+00,2.75E+00,2.75E+00,2.75E+00,1.51E+02,3.36E-01,3.08E+01,3.08E+01,,F
,96-18-4,"1,2,3-trichloropropane",6.79E+00,6.82E+00,6.84E+00,6.75E+00,5.20E+02,1.08E+00,4.50E+00,4.50E+00,3.40E+00,3.41E+00,3.42E+00,3.37E+00,2.60E+02,5.39E-01,2.25E+00,2.25E+00,,
,96-29-7,2-BUTANONE OXIME,2.70E+00,2.74E+00,2.78E+00,2.62E+00,4.17E+01,6.58E-03,6.43E+00,6.44E+00,1.35E+00,1.37E+00,1.39E+00,1.31E+00,2.09E+01,3.29E-03,3.22E+00,3.22E+00,,
,98-00-0,2-HYDROXYMETHYLFURAN,1.69E+00,1.92E+00,2.07E+00,1.31E+00,3.02E+01,1.89E-04,8.80E+00,8.80E+00,8.44E-01,9.59E-01,1.03E+00,6.54E-01,1.51E+01,9.47E-05,4.40E+00,4.40E+00,,
,98-07-7,Benzotrichloride,4.25E-01,4.27E-01,4.28E-01,4.23E-01,1.10E+02,1.01E-01,1.18E+00,1.18E+00,2.13E-01,2.13E-01,2.14E-01,2.11E-01,5.52E+01,5.04E-02,5.89E-01,5.89E-01,,F
,98-86-2,acetophenone,1.93E+00,1.95E+00,1.95E+00,1.91E+00,7.25E+01,2.86E-02,5.77E+00,5.77E+00,9.66E-01,9.73E-01,9.77E-01,9.56E-01,3.63E+01,1.43E-02,2.88E+00,2.88E+00,,F
,16568-02-8,Gyromitrin,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,1078-38-2,1-ACETYL-2-ISONICOTINOYLHYDRAZINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,22131-79-9,ALCOFENAC,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,3775-55-1,"2-AMINO-5-(5-NITRO-2-FURYL)-1,3,4-OXADIAZOLE",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,712-68-5,Triafur,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,99-57-0,2-AMINO-4-NITROPHENOL,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,121-66-4,"2-THIAZOLAMINE, 5-NITRO-",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,60-32-2,6-AMINOHEXANOIC ACID,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,10589-74-9,1-AMYL-1-NITROSOUREA,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,142-04-1,ANILINE HYDROCHLORIDE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,118-92-3,2-AMINOBENZOIC ACID,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,61-94-9,ARECOLINE.HCl,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,50-81-7,ASCORBIC ACID,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,50-78-2,ACETYLSALICYLIC ACID,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,144-02-5,"BARBITAL, SODIUM",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,67-52-7,BARBITURIC ACID,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,95-14-7,1H-BENZOTRIAZOLE,6.25E+01,7.81E+01,8.85E+01,3.65E+01,2.98E+02,1.08E-05,3.28E+01,3.28E+01,3.12E+01,3.91E+01,4.43E+01,1.82E+01,1.49E+02,5.38E-06,1.64E+01,1.64E+01,,
,613-94-5,BENZOYL HYDRAZINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,3296-90-0,"1,3-PROPANEDIOL, 2,2-BIS(BRME)-",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,108-60-1,bis(2-chloroisopropyl)ether,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,542-88-1,Bis-(chloromethyl) ether,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,2602-46-2,DIRECT BLUE 6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,2429-74-5,DIRECT BLUE 15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,74-96-4,BROMOETHANE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,869-01-2,1-BUTYL-1-NITROSOUREA,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,7422-80-2,"HYDRAZINE, 1,1-DIBUTYL-",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,56795-65-4,n-Butyl hydrazine hydrochloride,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,103-03-7,"HYDRAZINECARBOXAMIDE, 2-PHENYL-",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,305-03-3,Chlorambucil,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,20265-96-7,"Benzenamine, 4-chloro-, hydrochloride",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,107-30-2,Chloromethyl methyl ether,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,76-57-3,CODEINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,135-20-6,Cupferron,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,1163-19-5,Decabromophenyl ether,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,16338-97-9,N-NITROSO-DIALLYLAMINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,39156-41-7,"C,I, Oxidation Base 12A",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,137-09-7,"Phenol, 2,4-diamino-, dihydrochloride",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,628-36-4,DIFORMYLHYDRAZINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,94-58-6,Dihydrosafrole,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,20325-40-0,"[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethoxy-, dihydrochloride",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,55738-54-0,"trans-2-[(DIMETHYLAMINO)METHYLIMINO]-5-[2-(5-NITRO-2-FURYL)VINYL]-1,3,4-OXADIAZOLE",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,612-82-8,"[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethyl-, dihydrochloride",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,79-44-7,Dimethylcarbamyl chloride,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,306-37-6,"1,2-Dimethylhydrazine dihydrochloride",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,4164-28-7,DIMETHYLNITRAMINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,55557-00-1,"1H-1,4-DIAZEPINE, HEXAHYDRO-1,4-DINITROSO-",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,57-41-0,PHENYTOIN,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,68-89-3,Dipyrone,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,79-40-3,RUBEANIC ACID,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,22966-79-6,Estradiol Mustard,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,13073-35-3,"L-Homocysteine, S-ethyl-",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,67-21-0,"DL-Homocysteine, S-ethyl-",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,16301-26-1,AZOXYETHANE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,38434-77-4,ETHYLNITROSOCYANAMIDE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,624-84-0,N-FORMYLHYDRAZINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,149-91-7,"3,4,5-TRIHYDROXYBENZOIC ACID",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,77-06-5,GIBBERELLIC ACID,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,56-86-0,GLUTAMIC ACID,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,56-40-6,GLYCINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
