,,,,,,,,,,,,,,,,,,,,
,CAS RN,Name,Midpoint Ecotox. Charact. factor [PAF.m3.day/kgemitted],,,,,,,,Endpoint Ecotox. Charact. factor [PDF.m3.day/kgemitted],,,,,,,,CHARACTERIZATION FACTOR FLAGGING,
,,,Em.hom.airI,Em.ind.airI,Em.airU,Em.airC,Em.fr.waterC,Em.sea waterC,Em.nat.soilC,Em.agr.soilC,Em.hom.airI,Em.ind.airI,Em.airU,Em.airC,Em.fr.waterC,Em.sea waterC,Em.nat.soilC,Em.agr.soilC,(F=indicative; n/a=not available),
,,,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,,Ecotox
,12122-67-7,ZINEB,9.34E+03,1.40E+04,1.71E+04,1.60E+03,6.64E+04,9.92E-04,3.40E+02,3.40E+02,4.67E+03,6.99E+03,8.54E+03,8.02E+02,3.32E+04,4.96E-04,1.70E+02,1.70E+02,,F
,121-69-7,"N,N-Dimethylaniline",2.56E-01,3.00E-01,3.28E-01,1.85E-01,3.06E+02,1.89E-02,6.50E+00,2.02E+01,1.28E-01,1.50E-01,1.64E-01,9.23E-02,1.53E+02,9.44E-03,3.25E+00,1.01E+01,,
,121-75-5,Malathion,6.98E+03,1.04E+04,1.27E+04,1.24E+03,6.22E+04,7.43E-03,6.98E+01,6.98E+01,3.49E+03,5.21E+03,6.36E+03,6.20E+02,3.11E+04,3.71E-03,3.49E+01,3.49E+01,,
,121-79-9,PROPYL GALLATE,1.83E+02,2.47E+02,2.90E+02,7.54E+01,1.05E+03,2.12E-07,5.86E+01,8.06E+01,9.14E+01,1.24E+02,1.45E+02,3.77E+01,5.26E+02,1.06E-07,2.93E+01,4.03E+01,,F
,122-14-5,FENITROTHION,1.31E+03,1.78E+03,2.09E+03,5.23E+02,1.97E+05,1.46E+00,3.27E+02,3.27E+02,6.53E+02,8.88E+02,1.04E+03,2.62E+02,9.87E+04,7.30E-01,1.64E+02,1.64E+02,,
,122-34-9,simazine,1.67E+04,2.02E+04,2.26E+04,1.07E+04,7.79E+04,5.07E-02,1.03E+04,1.03E+04,8.34E+03,1.01E+04,1.13E+04,5.36E+03,3.89E+04,2.53E-02,5.14E+03,5.14E+03,,
,122-39-4,diphenylamine,5.14E+01,6.69E+01,7.72E+01,2.57E+01,2.76E+04,2.36E-01,7.77E+02,7.77E+02,2.57E+01,3.34E+01,3.86E+01,1.29E+01,1.38E+04,1.18E-01,3.88E+02,3.88E+02,,
,122-42-9,ISOPROPYL PHENYL CARBAMATE,2.18E+01,2.86E+01,3.32E+01,1.03E+01,1.05E+03,2.86E-03,3.73E+01,3.73E+01,1.09E+01,1.43E+01,1.66E+01,5.17E+00,5.25E+02,1.43E-03,1.87E+01,1.87E+01,,
,122-66-7,Hydrazobenzene,6.61E+01,9.14E+01,1.08E+02,2.39E+01,8.09E+03,1.70E-02,1.00E+02,1.00E+02,3.30E+01,4.57E+01,5.41E+01,1.20E+01,4.05E+03,8.49E-03,5.01E+01,5.01E+01,,F
,123-31-9,Hydroquinone,8.75E+03,1.04E+04,1.15E+04,6.01E+03,3.82E+04,4.95E-04,6.04E+03,6.04E+03,4.37E+03,5.19E+03,5.74E+03,3.00E+03,1.91E+04,2.48E-04,3.02E+03,3.02E+03,,
,123-91-1,"1,4-Dioxane",5.70E-02,5.76E-02,5.80E-02,5.60E-02,3.11E+00,4.71E-04,7.42E-01,7.42E-01,2.85E-02,2.88E-02,2.90E-02,2.80E-02,1.55E+00,2.35E-04,3.71E-01,3.71E-01,,
,12427-38-2,MANEB,9.84E+03,1.44E+04,1.75E+04,2.20E+03,6.89E+04,8.54E-10,5.12E+02,2.33E+03,4.92E+03,7.21E+03,8.74E+03,1.10E+03,3.45E+04,4.27E-10,2.56E+02,1.16E+03,,F
,124-48-1,Dibromochloromethane,1.51E+00,1.51E+00,1.51E+00,1.51E+00,1.08E+02,2.43E-01,7.48E+00,7.48E+00,7.57E-01,7.57E-01,7.57E-01,7.56E-01,5.42E+01,1.22E-01,3.74E+00,3.74E+00,,F
,126-72-7,"Tris (2,3-dibromopropyl) phosphate",4.33E+01,4.77E+01,5.06E+01,3.59E+01,1.47E+04,1.88E+00,1.15E+02,1.15E+02,2.16E+01,2.38E+01,2.53E+01,1.80E+01,7.35E+03,9.38E-01,5.76E+01,5.76E+01,,F
,126-73-8,TRIBUTYLPHOSPHATE,5.80E+00,7.98E+00,9.43E+00,2.17E+00,1.14E+03,2.34E-03,2.40E+00,2.40E+00,2.90E+00,3.99E+00,4.71E+00,1.09E+00,5.70E+02,1.17E-03,1.20E+00,1.20E+00,,
,12674-11-2,AROCLOR 1016,4.87E+02,5.04E+02,5.16E+02,4.57E+02,4.66E+04,6.75E+01,8.35E+01,8.35E+01,2.43E+02,2.52E+02,2.58E+02,2.29E+02,2.33E+04,3.37E+01,4.17E+01,4.17E+01,,
,127-00-4,1-CHLORO-2-PROPANOL,1.68E+00,1.69E+00,1.70E+00,1.66E+00,4.43E+01,1.27E-02,9.98E+00,9.98E+00,8.41E-01,8.47E-01,8.51E-01,8.30E-01,2.21E+01,6.33E-03,4.99E+00,4.99E+00,,F
,127-18-4,tetrachloroethylene,6.42E-01,6.44E-01,6.44E-01,6.41E-01,6.07E+02,1.63E-01,8.74E+00,8.74E+00,3.21E-01,3.22E-01,3.22E-01,3.20E-01,3.03E+02,8.13E-02,4.37E+00,4.37E+00,,
,128-44-9,Sodium saccharin,2.61E-01,2.63E-01,2.64E-01,2.58E-01,1.03E+00,1.25E-15,3.43E-01,3.43E-01,1.30E-01,1.31E-01,1.32E-01,1.29E-01,5.13E-01,6.24E-16,1.71E-01,1.71E-01,,F
,129-00-0,pyrene,5.41E+03,6.85E+03,7.80E+03,3.02E+03,1.29E+06,5.96E+02,6.81E+03,6.81E+03,2.70E+03,3.42E+03,3.90E+03,1.51E+03,6.47E+05,2.98E+02,3.40E+03,3.40E+03,,
,13071-79-9,TERBUFOS,1.33E+03,1.61E+03,1.80E+03,8.53E+02,2.23E+06,4.19E+01,1.00E+04,1.00E+04,6.64E+02,8.07E+02,9.02E+02,4.26E+02,1.11E+06,2.10E+01,5.01E+03,5.01E+03,,
,131-17-9,DIALLYLPHTHALATE,1.95E+01,2.43E+01,2.74E+01,1.16E+01,4.22E+03,3.16E-02,5.97E+01,5.97E+01,9.76E+00,1.21E+01,1.37E+01,5.81E+00,2.11E+03,1.58E-02,2.98E+01,2.98E+01,,
,13121-70-5,TRICYCLOHEXYLHYDROXYSTANNANE,9.39E+03,1.37E+04,1.66E+04,2.16E+03,5.61E+05,4.74E-01,5.85E+01,5.85E+01,4.69E+03,6.86E+03,8.31E+03,1.08E+03,2.80E+05,2.37E-01,2.93E+01,2.93E+01,,F
,13171-21-6,PHOSPHAMIDON,3.68E+04,4.92E+04,5.75E+04,1.61E+04,2.01E+05,3.07E-04,1.36E+04,1.36E+04,1.84E+04,2.46E+04,2.88E+04,8.06E+03,1.01E+05,1.54E-04,6.81E+03,6.81E+03,,
,13194-48-4,"O-ETHYL S,S-DIPROPYL PHOSPHORODITHIOATE",4.77E+03,6.18E+03,7.12E+03,2.43E+03,2.12E+05,5.35E-01,1.40E+04,1.40E+04,2.39E+03,3.09E+03,3.56E+03,1.21E+03,1.06E+05,2.67E-01,6.98E+03,6.98E+03,,
,132-27-4,"2-PHENYLPHENOL, SODIUM SALT",7.40E+02,7.48E+02,7.53E+02,7.27E+02,3.36E+03,5.23E-12,9.77E+02,9.77E+02,3.70E+02,3.74E+02,3.76E+02,3.63E+02,1.68E+03,2.61E-12,4.89E+02,4.89E+02,,F
,133-06-2,Captan,8.61E+03,1.28E+04,1.55E+04,1.67E+03,8.48E+04,5.09E-02,4.00E+02,4.00E+02,4.30E+03,6.39E+03,7.77E+03,8.36E+02,4.24E+04,2.55E-02,2.00E+02,2.00E+02,,
,133-07-3,FOLPET,4.67E+04,6.31E+04,7.40E+04,1.94E+04,1.12E+06,6.62E+00,3.37E+03,3.37E+03,2.34E+04,3.15E+04,3.70E+04,9.71E+03,5.58E+05,3.31E+00,1.69E+03,1.69E+03,,
,1330-78-5,TRICRESYL PHOSPHATE,3.84E+01,4.75E+01,5.36E+01,2.32E+01,2.71E+03,3.98E-02,5.64E-01,5.64E-01,1.92E+01,2.38E+01,2.68E+01,1.16E+01,1.36E+03,1.99E-02,2.82E-01,2.82E-01,,
,134-32-7,alpha-Naphthylamine,1.95E+01,2.91E+01,3.54E+01,3.48E+00,1.22E+03,1.46E-03,9.31E+00,7.55E+00,9.73E+00,1.45E+01,1.77E+01,1.74E+00,6.12E+02,7.29E-04,4.66E+00,3.78E+00,,F
,13457-18-6,PYRAZOPHOS,3.31E+03,4.88E+03,5.93E+03,6.94E+02,5.57E+04,5.02E-02,5.70E+02,4.48E+02,1.66E+03,2.44E+03,2.96E+03,3.47E+02,2.79E+04,2.51E-02,2.85E+02,2.24E+02,,
