,"Productions agricoles francaises conventionnelles
(ou étrangères modélisées dans le cadre d'Agribalyse)",,,,,,,,,"*Ces indicateurs représentent l’impact sur la santé lié à l’exposition de la population générale aux contaminants chimiques via les pollutions du milieu (air, eau, sol).  Ces contaminants émis dans l’environnement sont notamment des pesticides, des métaux lourds ou encore des polluants industriels. L’exposition par ingestion directe d’un aliment contenant des résidus de pesticides n’est pour l’instant pas intégrée dans les calculs d’Analyse du Cycle de Vie. Cette exposition est par ailleurs encadrée par la réglementation « Limites Maximales de Résidus (LMR) » au niveau français et européen.  ",,,,,,,,,,,,,
,,,,Score unique EF3.1 ,Changement climatique,Appauvrissement de la couche d'ozone ,Rayonnements ionisants ,Formation photochimique d'ozone ,Particules ,Effets toxicologiques sur la santé humaine : substances non-cancérogènes*,Effets toxicologiques sur la santé humaine : substances cancérogènes*,Acidification terrestre et eaux douces,Eutrophisation eaux douces ,Eutrophisation marine ,Eutrophisation terreste,Écotoxicité pour écosystèmes aquatiques d'eau douce,Utilisation du sol,Épuisement des ressources eau,Épuisement des ressources énergétiques,Épuisement des ressources minéraux,Changement climatique - émissions biogéniques,Changement climatique - émissions fossiles,Changement climatique - émissions liées au changement d'affectation des sols
Nom du Produit en Français,LCI Name,Type de production,Catégorie,mPt/kg,kg CO2 eq/kg,kg CFC11 eq/kg,kBq U-235 eq/kg,kg NMVOC eq/kg,disease inc./kg,CTUh/kg,CTUh/kg,mol H+ eq/kg,kg P eq/kg,kg N eq/kg,mol N eq/kg,CTUe/kg,Pt/kg,m3 depriv./kg,MJ/kg,kg Sb eq/kg,kg CO2 eq/kg,kg CO2 eq/kg,kg CO2 eq/kg
"Banane conventionnelle, à la ferme, Antilles","Banana, mixed production, West Indies, at farm gate {WI} U",Culture,Agricultural\Plant production\Fruits\Transformation,4.02E-02,1.78E-01,3.24E-09,1.58E-02,8.48E-04,4.89E-08,2.91E-09,5.77E-11,6.98E-03,1.91E-05,4.37E-04,3.04E-02,9.78E+00,1.71E+01,3.07E-01,2.01E+00,9.92E-07,2.26E-04,1.78E-01,7.91E-05
"Bar ou daurade, 200-500g, conventionnel, en cage, à la ferme, France","Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate {FR} U",Aquaculture,Agricultural\Animal production\Fish\Transformation,7.37E-01,4.54E+00,5.83E-07,5.45E-01,2.24E-02,2.69E-07,1.05E-07,1.51E-09,2.43E-02,3.17E-04,2.31E-01,8.84E-02,5.28E+01,7.49E+01,1.03E+00,6.29E+01,4.50E-06,4.42E-02,4.14E+00,3.53E-01
"Betterave pour du jus, conventionnel, à la ferme, France","Beetroot for juice, conventional, at farm gate {FR} U",Culture,Agricultural\Plant production\Roots and tubers\Transformation,1.12E-02,7.70E-02,1.28E-09,3.22E-03,2.89E-04,5.01E-09,2.85E-09,8.92E-11,6.88E-04,1.29E-05,4.79E-04,2.47E-03,2.75E+00,2.56E+00,2.99E-01,6.04E-01,8.26E-07,3.58E-05,7.67E-02,2.36E-04
"Betteraves, moyen conventionnel, national, alimentation animale, à la ferme, France","Sugar beet roots, conventional, national average, animal feed, at farm gate, production {FR} U",Culture,Agricultural\Animal feed\Feed ingredients\Transformation\Roots and tubers based,5.97E-03,3.84E-02,6.28E-10,1.80E-03,1.04E-04,3.62E-09,2.52E-09,6.25E-11,5.34E-04,9.55E-06,2.85E-04,2.34E-03,2.31E+00,7.67E+00,1.76E-02,1.95E-01,1.50E-07,8.28E-05,2.93E-02,8.98E-03
"Blé dur, conventionnel, moyenne nationale, à la ferme, France","Durum wheat grain, conventional, national average, at farm gate {FR} U",Culture,Agricultural\Plant production\Cereals\Transformation,9.14E-02,7.33E-01,9.02E-09,3.23E-02,2.37E-03,5.46E-08,8.04E-09,1.35E-09,8.91E-03,2.36E-04,7.74E-03,3.96E-02,5.16E+00,1.04E+02,4.50E-01,3.77E+00,2.32E-06,1.44E-04,6.11E-01,1.22E-01
"Blé tendre, conventionnel, améliorant protéine, 15% d'humidité, à la ferme, France","Soft wheat grain, conventional, protein improved quality, 15% moisture, at farm gate {FR} U",Culture,Agricultural\Plant production\Cereals\Transformation,8.39E-02,6.52E-01,8.75E-09,2.57E-02,2.29E-03,5.76E-08,7.80E-09,1.05E-09,9.31E-03,1.49E-04,6.31E-03,4.14E-02,1.05E+01,7.73E+01,3.45E-01,3.39E+00,2.12E-06,1.60E-04,5.61E-01,9.04E-02
"Blé tendre, conventionnel, moyenne nationale, alimentation animale, à la ferme, France","Soft wheat grain, conventional, national average, animal feed, at farm gate, production {FR} U",Culture,Agricultural\Plant production\Cereals\Transformation,6.42E-02,4.72E-01,6.41E-09,1.07E-02,1.56E-03,4.69E-08,2.60E-09,7.62E-10,7.40E-03,1.10E-04,5.17E-03,3.23E-02,9.92E+00,6.92E+01,1.43E-01,2.22E+00,1.68E-06,1.22E-04,3.91E-01,8.10E-02
"Blé tendre, conventionnel, panifiable, 15% d'humidité, à la ferme, France","Soft wheat grain, conventional, breadmaking quality, 15% moisture, at farm gate {FR} U",Culture,Agricultural\Plant production\Cereals\Transformation,6.43E-02,4.73E-01,6.42E-09,1.07E-02,1.56E-03,4.69E-08,2.60E-09,7.62E-10,7.41E-03,1.10E-04,5.17E-03,3.23E-02,9.93E+00,6.92E+01,1.43E-01,2.22E+00,1.68E-06,1.22E-04,3.91E-01,8.10E-02
"Blé tendre, levier culture intermédiaire systématique du scénario, à la ferme, France","Soft wheat grain, systematic cover cropping scenario, at farm gate {FR} U",Culture,Agricultural\Plant production\Cereals\Transformation,6.02E-02,4.45E-01,6.39E-09,9.81E-03,1.47E-03,4.81E-08,1.04E-08,6.85E-10,7.54E-03,9.37E-05,4.07E-03,3.32E-02,4.97E+00,6.16E+01,1.60E-01,2.12E+00,1.36E-06,8.73E-05,3.73E-01,7.21E-02
"Blé tendre, levier légumineuse dans rotation, à la ferme, France","Soft wheat grain, protein crop scenario, at farm gate {FR} U",Culture,Agricultural\Plant production\Cereals\Transformation,5.89E-02,4.29E-01,5.73E-09,8.94E-03,1.33E-03,4.32E-08,1.00E-08,6.67E-10,6.77E-03,8.97E-05,5.02E-03,2.98E-02,5.02E+00,7.11E+01,1.47E-01,1.90E+00,1.21E-06,7.94E-05,3.46E-01,8.32E-02
